Nombre_Base,Nombre_Similar
LICEO INTEGRAL CIENTIFICO EN COMPUTACION,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION
LICEO CIENTIFICO TECNOLOGICO EN-GADI,LICEO CIENTÍFICO TECNOLÓGICO EN-GADI
LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE,LICEO EN CIENCIA Y TECNOLOGÍA DE OCCIDENTE
TECNOLÓGICO PREUNIVERSITARIO,TECNOLOGICO PREUNIVERSITARIO
TECNOLÓGICO PREUNIVERSITARIO,TECNOLOGICO PRE-UNIVERSITARIO
LICEO EN CIENCIA Y TECNOLOGÍA DE OCCIDENTE,LICEO EN CIENCIA Y TECNOLOGIA DE OCCIDENTE
"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA."
"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA",PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA
"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA"
"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA , PRONEA"
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX- DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX - DEPARTAMENTAL
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL JALAPA
LICEO NUEVA GENERACIÓN,LICEO NUEVA GENERACION
CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2)
INSTITUTO PRIVADO DE COMPUTACIÓN INFORMÁTICA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA
INSTITUTO PRIVADO DE COMPUTACIÓN INFORMÁTICA,INSTITUTO DE COMPUTACIÓN INFORMÁTICA
COLEGIO CIENTÍFICO INTEGRAL RENACIMIENTO,COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO
CENTRO DE ESTUDIOS TÉCNICOS Y AVANZADOS DE CHIMALTENANGO C.E.T.A.CH.,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO C.E.T.A.CH.
LICEO CIENTÍFICO TECNOLÓGICO EN-GADI,LICEO CIENTIFICO TECNOLOGICO EN-GADI
COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,LICEO INTEGRAL CIENTIFICO EN COMPUTACION
COLEGIO MESOAMERICANO,COLEGIO MESOAMERICA
INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI
INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACIÓN INFORMÁTICA
COLEGIO CIENTIFICO INTEGRAL RENACIMIENTO,COLEGIO CIENTÍFICO INTEGRAL RENACIMIENTO
TECNOLOGICO PRE-UNIVERSITARIO,TECNOLOGICO PREUNIVERSITARIO
TECNOLOGICO PRE-UNIVERSITARIO,TECNOLÓGICO PREUNIVERSITARIO
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA PATULUL
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ZUNILITO
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA PUENTE
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA POAQUIL,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA PACHALÍ
LICEO SAN JOSÉ,LICEO SAN JOSE
LICEO MUNICIPAL CIENTÍFICO TECNOLÓGICO SAN MARTÍN,LICEO MUNICIPAL CIENTIFICO TECNOLOGICO SAN MARTIN
COLEGIO EVANGELICO MIXTO GETSEMANI,COLEGIO EVANGÉLICO MIXTO GETSEMANÍ
LICEO CRISTIANO JERUSALEN,LICEO CRISTIANO JERUSALÉN
COLEGIO EVANGÉLICO MIXTO GETSEMANÍ,COLEGIO EVANGELICO MIXTO GETSEMANI
LICEO CRISTIANO JERUSALÉN,LICEO CRISTIANO JERUSALEN
